timestamp,gyroYaw,gyroPitch,gyroRoll,accelX,accelY,accelZ,isFallen
1688904776853598,-0.003196,-0.000799,-0.000266,1.820215,0.134121,-9.77168,0
1688904776865379,-0.000266,-0.000533,0.002131,1.820215,0.134121,-9.77168,0
1688904776877335,-0.000266,-0.000533,0.002131,1.858535,0.143701,-9.666299,0
1688904776889580,-0.004261,-0.000799,-0.000266,1.858535,0.143701,-9.666299,0
1688904776901518,-0.004261,-0.000799,-0.000266,1.858535,0.086221,-9.79084,0
1688904776913588,-0.001065,0.0,-0.000533,1.858535,0.086221,-9.79084,0
1688904776925500,-0.001065,0.0,-0.000533,1.848955,0.134121,-9.666299,0
1688904776937454,0.001864,0.0,-0.002131,1.848955,0.134121,-9.666299,0
1688904776949611,0.001864,0.0,-0.002131,1.810635,0.143701,-9.69504,0
1688904776961515,0.001598,0.001332,-0.001332,1.810635,0.143701,-9.69504,0
1688904776973377,0.001598,0.001332,-0.001332,1.829795,0.172441,-9.685459,0
1688904776985768,0.0,-0.000799,-0.001598,1.829795,0.172441,-9.685459,0
1688904776997598,0.0,-0.000799,-0.001598,1.868115,0.153281,-9.627979,0
1688904777009590,0.004261,-0.001332,0.003995,1.868115,0.153281,-9.627979,0
1688904777021624,0.004261,-0.001332,0.003995,1.829795,0.105381,-9.675879,0
1688904777033613,-0.000799,0.0,0.002663,1.829795,0.105381,-9.675879,0
1688904777045540,-0.000799,0.0,0.002663,1.858535,0.095801,-9.675879,0
1688904777057746,0.001332,-0.000799,0.0,1.858535,0.095801,-9.675879,0
1688904777069666,0.001332,-0.000799,0.0,1.829795,0.124541,-9.637559,0
1688904777081685,-0.000799,0.000266,-0.003196,1.829795,0.124541,-9.637559,0
1688904777093685,-0.000799,0.000266,-0.003196,1.906436,0.086221,-9.64714,0
1688904777105677,-0.002929,0.001864,-0.005593,1.906436,0.086221,-9.64714,0
1688904777117807,-0.002929,0.001864,-0.005593,1.781895,0.114961,-9.81958,0
1688904777129667,-0.000533,-0.001065,-0.002131,1.781895,0.114961,-9.81958,0
1688904777141686,-0.000533,-0.001065,-0.002131,1.877695,0.134121,-10.030342,0
1688904777153854,-0.002929,-0.000533,0.000799,1.877695,0.134121,-10.030342,0
1688904777165815,-0.002929,-0.000533,0.000799,1.810635,0.114961,-9.541759,0
1688904777177744,-0.000266,-0.003995,0.002397,1.810635,0.114961,-9.541759,0
1688904777189775,-0.000266,-0.003995,0.002397,1.868115,0.114961,-9.877061,0
1688904777201767,-0.001598,-0.002663,0.002131,1.868115,0.114961,-9.877061,0
1688904777213801,-0.001598,-0.002663,0.002131,1.868115,0.095801,-9.733359,0
1688904777225911,0.002397,-0.002131,0.002131,1.868115,0.095801,-9.733359,0
1688904777237807,0.002397,-0.002131,0.002131,1.868115,0.114961,-10.011182,0
1688904777249899,-0.002929,-0.003728,-0.002663,1.868115,0.114961,-10.011182,0
1688904777261944,-0.002929,-0.003728,-0.002663,1.801055,0.124541,-9.465117,0
1688904777273863,0.000266,0.000266,-0.001864,1.801055,0.124541,-9.465117,0
1688904777285944,0.000266,0.000266,-0.001864,1.868115,0.143701,-9.78126,0
1688904777298009,-0.000533,-0.002663,0.001065,1.868115,0.143701,-9.78126,0
1688904777309857,-0.000533,-0.002663,0.001065,1.820215,0.172441,-9.704619,0
1688904777321986,0.001598,0.0,0.0,1.820215,0.172441,-9.704619,0
