timestamp,gyroYaw,gyroPitch,gyroRoll,accelX,accelY,accelZ,bodyPitch,bodyRoll
1688904650386987,-0.011984,0.001598,-0.028230,0.689766,0.210762,-9.666299,0.075462,0.012433
1688904650398901,0.000533,0.000799,-0.007457,0.689766,0.210762,-9.666299,0.075179,0.009956
1688904650410882,0.000533,0.000799,-0.007457,0.680186,0.229922,-9.695040,0.074827,0.007488
1688904650423048,0.003995,0.002929,0.013582,0.680186,0.229922,-9.695040,0.074498,0.005276
1688904650435122,0.003995,0.002929,0.013582,0.708926,-0.047900,-9.675879,0.072204,0.004886
1688904650446976,-0.000533,0.000266,0.029028,0.708926,-0.047900,-9.675879,0.074596,0.005399
1688904650459075,-0.000533,0.000266,0.029028,0.708926,-0.373623,-9.618399,0.074524,0.008152
1688904650471116,0.007457,-0.002929,0.026898,0.708926,-0.373623,-9.618399,0.074411,0.010887
1688904650482996,0.007457,-0.002929,0.026898,0.708926,-0.392783,-9.810000,0.074186,0.013615
1688904650495100,0.002663,-0.002929,0.009055,0.708926,-0.392783,-9.810000,0.073961,0.016125
1688904650507057,0.002663,-0.002929,0.009055,0.603545,-0.383203,-9.532178,0.072944,0.018432
1688904650519124,0.000799,0.001864,-0.015446,0.603545,-0.383203,-9.532178,0.071983,0.020442
1688904650531224,0.000799,0.001864,-0.015446,0.795147,-0.134121,-9.886642,0.073850,0.018723
1688904650543169,-0.002397,0.001864,-0.028230,0.795147,-0.134121,-9.886642,0.075742,0.016876
1688904650555265,-0.002397,0.001864,-0.028230,0.795147,0.220342,-9.465117,0.076241,0.014176
1688904650567162,-0.005593,0.001598,-0.022637,0.795147,0.220342,-9.465117,0.076740,0.011540
1688904650579181,-0.005593,0.001598,-0.022637,0.661025,0.172441,-9.819580,0.076014,0.008977
1688904650591267,-0.003196,0.007989,-0.003728,0.661025,0.172441,-9.819580,0.075354,0.006647
1688904650603268,-0.003196,0.007989,-0.003728,0.498164,0.153281,-9.436378,0.073766,0.004890
1688904650615175,0.000533,0.001065,0.020506,0.498164,0.153281,-9.436378,0.072087,0.003434
1688904650627339,0.000533,0.001065,0.020506,0.938848,-0.047900,-9.877061,0.074489,0.003830
1688904650639236,0.008256,0.001598,0.032224,0.938848,-0.047900,-9.877061,0.076898,0.004344
1688904650651351,0.008256,0.001598,0.032224,0.833467,-0.392783,-9.695040,0.077488,0.007075
1688904650663358,0.003196,-0.002663,0.019974,0.833467,-0.392783,-9.695040,0.078032,0.009654
1688904650675360,0.003196,-0.002663,0.019974,0.718506,-0.421523,-9.762100,0.077673,0.012282
1688904650687371,0.002929,0.000533,0.005859,0.718506,-0.421523,-9.762100,0.077352,0.014739
1688904650699336,0.002929,0.000533,0.005859,0.517324,-0.287402,-9.685459,0.075322,0.016080
1688904650711343,-0.002663,-0.001598,-0.016778,0.517324,-0.287402,-9.685459,0.073264,0.017138
1688904650723347,-0.002663,-0.001598,-0.016778,0.852627,-0.114961,-9.829161,0.075462,0.016025
1688904650735371,-0.006924,0.002929,-0.028762,0.852627,-0.114961,-9.829161,0.077730,0.014801
1688904650747384,-0.006924,0.002929,-0.028762,0.708926,0.182021,-9.810000,0.077371,0.012076
1688904650759448,-0.004261,0.001065,-0.020240,0.708926,0.182021,-9.810000,0.076980,0.009457
1688904650771439,-0.004261,0.001065,-0.020240,0.708926,0.249082,-9.608819,0.076769,0.006814
1688904650783475,-0.002663,0.000266,0.000000,0.708926,0.249082,-9.608819,0.076545,0.004415
1688904650795427,-0.002663,0.000266,0.000000,0.593965,0.086221,-9.810000,0.074696,0.002889
1688904650807265,0.000266,0.000000,0.019974,0.593965,0.086221,-9.810000,0.072843,0.001606
